"HDI Rank","Country","GDI_value","HDI_f","HDI_m","Life_expectancy_at_birth_f","Life_Expectancy_at_birth_m","Expected_years_of_schooling_f","Expected_years_of_schooling_m","Mean_years_of_schooling_f","Mean_years_of_schooling_m","2017_Estimated _gross _ national_income_per_capita_f","2017_Estimated _gross _ national_income_per_capita_m"
1,"Norway",0.9899386579617451,0.94895635201451,0.9586011662261813,84.377,80.447,18.75945,17.41359,12.977,12.81661,58548.43907513327,74279.89501600877
2,"Ireland",0.9810242976135434,0.9430427884882875,0.9612838242460963,83.909,80.667,18.79073,18.62423,12.89739912,12.42200863,55540.14540196465,81400.50775398177
2,"Switzerland",0.9675128179073542,0.9338774340881767,0.9652352059873192,85.596,81.874,16.23563,16.41916,12.6696,13.5584,57840.35006751253,81136.60858556404
4,"Hong Kong, Chi  (SAR)",0.9723231390489695,0.9328290182028115,0.9593816918881646,87.747,81.971,17.14543,16.75865,11.90943,12.74265,45960.59933658365,82992.88075474797
4,"Iceland",0.9686740369265662,0.9331675072234334,0.9633452241418705,84.485,81.502,20.16457,18.03625,12.56192757,12.9836233,46413.01058689646,62882.62458537777
6,"Germany",0.9718804772078216,0.9327163495784005,0.9597027324368752,83.728,78.944,16.91137,17.03992,13.88232,14.43136,45277.165277536296,65599.45133535868
7,"Sweden",0.9826442554677156,0.9364274045697064,0.9529668538325591,84.56,81.029,20.41199,18.58575,12.69396,12.39988,47708.533866443126,61287.048819561256
8,"Australia",0.9762035605125557,0.9318109561617719,0.9545252587201428,85.403,81.492,22.43083,21.48273,12.79604116,12.65123522,39286.57417328427,56953.61353311733
8,"Netherlands",0.965586666219649,0.9264806845968288,0.9595002882797425,83.952,80.592,18.79391,18.18601,12.16944,12.66969,46815.15237759871,68685.268775261
10,"Denmark",0.9825656024202176,0.9310091587903512,0.9475287517669307,82.865,78.946,19.55325,18.25409,12.83248399,12.39449532,49296.29514256886,68133.62253042427
11,"Finland",0.9899190976379478,0.9324888493432365,0.9419849072194425,84.718,79.091,20.20295,18.62983,12.99106,12.64766,40758.7551517039,56485.02918287682
11,"Singapore",0.9852372575048299,0.9308035314585691,0.9447506419071916,85.728,81.526,16.65767,16.28347,11.17682,12.1125,71387.27614451066,103421.3856924149
13,"United Kingdom",0.9699238256280696,0.9159521804260728,0.944354758821346,82.999,79.613,17.98136,17.01851,13.24347,13.24225,33322.8166645938,59134.68614066317
14,"Belgium",0.9738078064627926,0.9179405118829523,0.9426300608712825,83.882,79.32,20.72962,18.83843,11.93601,12.17293,41948.318533633,62427.38621331777
14,"New Zealand",0.9642864080198679,0.9118545920901724,0.9456263040797572,83.981,80.571,19.74466,17.91784,12.71496574,12.85611319,31232.963310135274,50692.96028665708
16,"Ca da",0.9855929026542676,0.9215525045584151,0.935023478838588,84.391,80.447,16.66986,15.66355,13.41614,13.31281,39459.204895532974,57733.57500352735
17,"United States",0.993544801844942,0.9217149522350425,0.9277034619108101,81.405,76.341,16.92108,15.71635,13.46054,13.36257,50590.342929277016,77338.34193711884
18,"Austria",0.963932404178508,0.9027274536729487,0.9365049351590997,83.866,79.169,16.38729,15.81279,12.23973506,12.87223858,39385.87800432889,73527.75414800868
19,"Israel",0.9733183592157605,0.904138952277615,0.9289241733877434,84.505,81.331,16.76587,15.58872,13.05982,13.02647,29665.372638662826,50819.35830616068
19,"Japan",0.9775654704353921,0.9057559686513178,0.926542514076227,87.669,81.497,15.18894,15.2722,13.062,12.638,30583.929660183538,55869.37695070036
19,"Liechtenstein",,,,,,13.75457,16.02539,,,,
22,"Slovenia",1.0014085210641908,0.9156499719077447,0.914362073666688,84.04,78.575,18.33965,16.8492,12.64336,12.67688,33885.02068794801,42311.69187776402
23,"Korea (Republic of)",0.9361131436640374,0.8805218558850386,0.9406147770114528,85.954,79.935,15.91375,16.97458,11.4283,12.87406,27734.215949119614,58309.27944080957
23,"Luxembourg",0.9759421347047924,0.9007376125553426,0.9229416176685536,84.346,80.157,14.31781,14.1982,11.99978,12.63556,58642.06280804499,86487.78224203957
25,"Spain",0.9858652738011706,0.896326715634599,0.9091776933968466,86.248,80.826,18.01731,17.22631,10.16173,10.34807,32880.97702057912,49355.52706476317
26,"France",0.987152994137522,0.8949895448103902,0.9066371171698109,85.486,79.716,15.97014,15.31928,11.26852,11.71352,39477.530000538514,55375.44630588238
27,"Czechia",0.9854316655027545,0.8925294838935959,0.9057243796181838,81.944,76.76,17.52742,16.07821,12.54734683,12.90645352,29480.47924220943,47012.12446856166
28,"Malta",0.965690318755337,0.8773965289810337,0.9085692503492179,84.263,80.699,16.54657,15.69361,11.05503,11.59871,29367.740809772848,49686.441085377046
29,"Estonia",1.016865658667438,0.8963960057980453,0.8815284478902912,82.711,74.358,16.79529,15.22564,13.57210536,12.68028577,27086.33018871619,45984.267147747014
29,"Italy",0.967767104697158,0.8753458332463552,0.9045005032696125,85.539,81.325,16.41448,15.78341,10.17920413,10.59922043,31638.919311589943,54529.25129868711
31,"United Arab Emirates",0.9306258727041725,0.8424034774782221,0.9052010073934463,79.314,77.291,14.81044081,14.11443511,11.6769,12.42786,28577.657802941496,84722.52253829598
