"HDI Rank","Country","GII_Value","GII_Rank","Maternal_mortality ratio_(deaths_per_100k_livebirths)","Adolescent_birth rate_(births_per_1k_women_age_15-19)","Share of seats in parliament_(%_held_by_women)","f_with_at_least_some_secondary_education_in%","m_with_at_least_some_secondary_education_in%","f_Labour force participation rate_in%","m_Labour force participation rate_in%"
1,"Norway",0.045,6,2.0,5.141,40.82840237,95.3928,94.8599762,60.37,67.192
2,"Ireland",0.093,23,5.0,7.515,24.31192661,81.92398,79.94372604,55.973,68.365
2,"Switzerland",0.025,1,5.0,2.763,38.61788618,95.56618,96.75691,62.904,73.754
4,"Hong Kong, China (SAR)",,,,2.705,,77.0914338,82.9151,53.984,67.507
4,"Iceland",0.058,9,4.0,6.269,38.0952381,100.0,100.0,70.846,79.225
6,"Germany",0.084,20,7.0,8.095,31.61953728,95.85821,96.32719,55.275,66.565
7,"Sweden",0.039,3,4.0,5.076,47.27793696,89.28605,89.54352356,61.384,67.766
8,"Australia",0.097,25,6.0,11.715,36.56387665,91.02507,90.94452,60.3,70.855
8,"Netherlands",0.043,4,5.0,3.788,33.77777778,87.57493,90.31986,58.263,69.083
10,"Denmark",0.038,2,4.0,4.123,39.10614525,91.15192,90.88383,58.248,66.285
11,"Finland",0.047,7,3.0,5.813,47.0,100.0,100.0,55.542,62.773
11,"Singapore",0.065,12,8.0,3.53,23.0,78.09105,85.05447,61.97,78.298
13,"United Kingdom",0.118,31,7.0,13.37,28.90896456,78.00672324,79.30673116,57.647,68.11
14,"Belgium",0.043,4,5.0,4.651,43.33333333,84.72241,88.38187,48.608,58.699
14,"New Zealand",0.123,33,9.0,19.27,40.83333333,97.38831267,96.85121934,64.772,75.335
16,"Canada",0.08,19,10.0,8.387,33.18284424,100.0,100.0,60.836,69.422
17,"United States",0.204,46,19.0,19.86,23.72881356,96.07597,95.97922,56.126,68.186
18,"Austria",0.069,14,5.0,7.34,38.52459016,100.0,99.78705411,55.059,66.573
19,"Israel",0.109,26,3.0,9.607,23.33333333,87.94330874,90.69420266,59.693,68.547
19,"Japan",0.094,24,5.0,3.78,14.50704225,95.27327069,92.27957105,52.738,71.28
19,"Liechtenstein",,,,,12.0,,,,
22,"Slovenia",0.063,10,7.0,3.776,22.30769231,97.2491,98.32048,53.401,63.426
23,"Korea (Republic of)",0.064,11,11.0,1.379,16.66666667,80.43655096,95.46899485,52.892,73.102
23,"Luxembourg",0.065,12,5.0,4.727,25.0,100.0,100.0,54.914,63.67
25,"Spain",0.07,16,4.0,7.725,41.85667752,75.37,80.23754,51.853,63.429
