,Table 4. Gender Development Index,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,SDG3,,,,SDG4.3,,,,SDG4.4,,,,SDG8.5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender Development Index,,,,Human Development Index,,,,Life expectancy at birth,,,,Expected years of schooling,,,,Mean years of schooling,,,,Estimated  gross national income per capita,,,a
,,,,,,Value,,,,(years),,,,(years),,,,(years),,,,(2017 PPP $),,,
HDI rank,Country,Value,,Group,b,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,
,,2019,,2019,,2019,,2019,,2019,,2019,,2019,c,2019,c,2019,c,2019,c,2019,,2019,
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,0.99,,1,,0.949,,0.959,,84.4,,80.4,,18.8,d,17.4,,13,,12.8,,"58,548",,"74,280",
2,Ireland,0.981,,1,,0.943,,0.961,,83.9,,80.7,,18.8,d,18.6,d,12.9,,12.4,,"55,540",,"81,401",e
2,Switzerland,0.968,,2,,0.934,,0.965,,85.6,,81.9,,16.2,,16.4,,12.7,,13.6,,"57,840",,"81,137",e
4,"Hong Kong, China (SAR)",0.972,,2,,0.933,,0.959,,87.7,,82,,17.1,,16.8,,11.9,,12.7,,"45,961",,"82,993",e
4,Iceland,0.969,,2,,0.933,,0.963,,84.5,,81.5,,20.2,d,18,d,12.6,f,13,f,"46,413",,"62,883",
6,Germany,0.972,,2,,0.933,,0.96,,83.7,,78.9,,16.9,,17,,13.9,,14.4,,"45,277",,"65,599",
7,Sweden,0.983,,1,,0.936,,0.953,,84.6,,81,,20.4,d,18.6,d,12.7,,12.4,,"47,709",,"61,287",
8,Australia,0.976,,1,,0.932,,0.955,,85.4,,81.5,,22.4,d,21.5,d,12.8,f,12.7,f,"39,287",,"56,954",
8,Netherlands,0.966,,2,,0.926,,0.96,,84,,80.6,,18.8,d,18.2,d,12.2,,12.7,,"46,815",,"68,685",
10,Denmark,0.983,,1,,0.931,,0.948,,82.9,,78.9,,19.6,d,18.3,d,12.8,f,12.4,f,"49,296",,"68,134",
11,Finland,0.99,,1,,0.932,,0.942,,84.7,,79.1,,20.2,d,18.6,d,13,,12.6,,"40,759",,"56,485",
11,Singapore,0.985,,1,,0.931,,0.945,,85.7,,81.5,,16.7,,16.3,,11.2,,12.1,,"71,387",,"103,421",e
13,United Kingdom,0.97,,2,,0.916,,0.944,,83,,79.6,,18,,17,,13.2,,13.2,,"33,323",,"59,135",
14,Belgium,0.974,,2,,0.918,,0.943,,83.9,,79.3,,20.7,d,18.8,d,11.9,g,12.2,g,"41,948",,"62,427",
14,New Zealand,0.964,,2,,0.912,,0.946,,84,,80.6,,19.7,d,17.9,,12.7,f,12.9,f,"31,233",,"50,693",
16,Canada,0.986,,1,,0.922,,0.935,,84.4,,80.4,,16.7,,15.7,,13.4,f,13.3,f,"39,459",,"57,734",
17,United States,0.994,,1,,0.922,,0.928,,81.4,,76.3,,16.9,,15.7,,13.5,,13.4,,"50,590",,"77,338",e
18,Austria,0.964,,2,,0.903,,0.937,,83.9,,79.2,,16.4,,15.8,,12.2,f,12.9,f,"39,386",,"73,528",
19,Israel,0.973,,2,,0.904,,0.929,,84.5,,81.3,,16.8,,15.6,,13.1,,13,,"29,665",,"50,819",
