,Table 5. Gender Inequality Index,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,SDG3.1,,SDG3.7,,SDG5.5,,SDG4.4,,,,,,,
,,Gender Inequality Index,,,,Maternal mortality ratio,,Adolescent birth rate,,Share of seats in parliament,,Population with at least some secondary education,,,,Labour force participation rate ,,,a
,,Value,,Rank,,"(deaths per 100,000 live births)",,"(births per 1,000 women ages 15–19)",,(% held by women),,(% ages 25 and older),,,,(% ages 15 and older),,,
HDI rank,Country,,,,,,,,,,,Female,,Male,,Female,,Male,
,,2019,,2019,,2017,,2015-2020,b,2019,,2015–2019,c,2015–2019,c,2019,,2019,
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,
1,Norway,0.045,,6,,2,,5.1,,40.8,,95.4,,94.9,,60.4,,67.2,
2,Ireland,0.093,,23,,5,,7.5,,24.3,,81.9,d,79.9,d,56.0,,68.4,
2,Switzerland,0.025,,1,,5,,2.8,,38.6,,95.6,,96.8,,62.9,,73.8,
4,"Hong Kong, China (SAR)",..,,..,,..,,2.7,,..,,77.1,,82.9,,54.0,,67.5,
4,Iceland,0.058,,9,,4,,6.3,,38.1,,100.0,d,100.0,d,70.8,,79.2,
6,Germany,0.084,,20,,7,,8.1,,31.6,,95.9,,96.3,,55.3,,66.6,
7,Sweden,0.039,,3,,4,,5.1,,47.3,,89.3,,89.5,,61.4,,67.8,
8,Australia,0.097,,25,,6,,11.7,,36.6,,91.0,,90.9,,60.3,,70.9,
8,Netherlands,0.043,,4,,5,,3.8,,33.8,,87.6,,90.3,,58.3,,69.1,
10,Denmark,0.038,,2,,4,,4.1,,39.1,,91.2,,90.9,,58.2,,66.3,
11,Finland,0.047,,7,,3,,5.8,,47.0,,100.0,,100.0,,55.5,,62.8,
11,Singapore,0.065,,12,,8,,3.5,,23.0,,78.1,,85.1,,62.0,,78.3,
13,United Kingdom,0.118,,31,,7,,13.4,,28.9,,78.0,,79.3,,57.6,,68.1,
14,Belgium,0.043,,4,,5,,4.7,,43.3,,84.7,,88.4,,48.6,,58.7,
