"year","Anteil"
1997,"Frau"
1997,"Frau"
1997,"Frau"
1997,"Frau"
1997,"Frau"
1997,"Frau"
1997,"Frau"
1997,"Frau"
1997,"Frau"
1997,"Frau"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1997,"Mann"
1998,"Frau"
1998,"Frau"
1998,"Frau"
1998,"Frau"
1998,"Frau"
1998,"Frau"
1998,"Frau"
1998,"Frau"
1998,"Frau"
1998,"Frau"
1998,"Frau"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1998,"Mann"
1999,"Frau"
1999,"Frau"
1999,"Frau"
1999,"Frau"
1999,"Frau"
1999,"Frau"
1999,"Frau"
1999,"Frau"
1999,"Frau"
1999,"Frau"
1999,"Frau"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
1999,"Mann"
2000,"Frau"
2000,"Frau"
2000,"Frau"
2000,"Frau"
2000,"Frau"
2000,"Frau"
2000,"Frau"
2000,"Frau"
2000,"Frau"
2000,"Frau"
2000,"Frau"
2000,"Frau"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2000,"Mann"
2001,"Frau"
2001,"Frau"
2001,"Frau"
2001,"Frau"
2001,"Frau"
2001,"Frau"
2001,"Frau"
2001,"Frau"
2001,"Frau"
2001,"Frau"
2001,"Frau"
2001,"Frau"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2001,"Mann"
2002,"Frau"
