"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159"
"Series Name","Borrowed for education or school fees (% age 15+)","Borrowed for education or school fees, female  (% age 15+)","Borrowed for education or school fees, male  (% age 15+)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Female share of graduates in Education programmes, tertiary (%)","Government expenditure on education, total (% of GDP)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Labor force with advanced education (% of total working-age population with advanced education)","Labor force with advanced education, female (% of female working-age population with advanced education)","Labor force with advanced education, male (% of male working-age population with advanced education)","Labor force with basic education (% of total working-age population with basic education)","Labor force with basic education, female (% of female working-age population with basic education)","Labor force with basic education, male (% of male working-age population with basic education)","Labor force with intermediate education (% of total working-age population with intermediate education)","Labor force with intermediate education, female (% of female working-age population with intermediate education)","Labor force with intermediate education, male (% of male working-age population with intermediate education)","Percentage of students in lower secondary vocational education who are female (%)","Percentage of students in post-secondary non-tertiary vocational education who are female (%)","Percentage of students in upper secondary vocational education who are female (%)","Primary education, pupils (% female)","Primary education, teachers (% female)","Saved for education or school fees (% age 15+)","Saved for education or school fees, female  (% age 15+)","Saved for education or school fees, male (% age 15+)","Secondary education, pupils (% female)","Secondary education, teachers (% female)","Secondary education, vocational pupils","Secondary education, vocational pupils (% female)","Share of all students in lower secondary education enrolled in vocational programmes (%)","Share of all students in post-secondary non-tertiary education enrolled in vocational programmes (%)","Share of all students in upper secondary education enrolled in vocational programmes (%)","Share of female students in lower secondary education enrolled in vocational programmes (%)","Share of female students in post-secondary non-tertiary education enrolled in vocational programmes (%)","Share of female students in upper secondary education enrolled in vocational programmes (%)","Share of male students in lower secondary education enrolled in vocational programmes (%)","Share of male students in post-secondary non-tertiary education enrolled in vocational programmes (%)","Share of male students in secondary education enrolled in vocational programmes (%)","Share of male students in upper secondary education enrolled in vocational programmes (%)","Tertiary education, academic staff (% female)","Unemployment with advanced education (% of total labor force with advanced education)","Unemployment with advanced education, female (% of female labor force with advanced education)","Unemployment with advanced education, male (% of male labor force with advanced education)","Unemployment with basic education (% of total labor force with basic education)","Unemployment with basic education, female (% of female labor force with basic education)","Unemployment with basic education, male (% of male labor force with basic education)","Unemployment with intermediate education (% of total labor force with intermediate education)","Unemployment with intermediate education, female (% of female labor force with intermediate education)","Unemployment with intermediate education, male (% of male labor force with intermediate education)","Adjusted net enrollment rate, primary (% of primary school age children)","Adjusted net enrollment rate, primary, female (% of primary school age children)","Adjusted net enrollment rate, primary, male (% of primary school age children)","Children out of school (% of primary school age)","Children out of school, primary","Children out of school, primary, female","Children out of school, primary, male","Expected Years of School","Expected Years of School, Female","Expected Years of School, Male","Expected years of schooling","Expected years of schooling, female","Expected years of schooling, male","Female primary school age children out-of-school (%)","Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","Learning-Adjusted Years of School","Learning-Adjusted Years of School, Female","Learning-Adjusted Years of School, Male","Male primary school age children out-of-school (%)","Net intake rate in grade 1 (% of official school-age population)","Net intake rate in grade 1, female (% of official school-age population)","Net intake rate in grade 1, male (% of official school-age population)","Paid school fees in the past year (% age 15+)","Paid school fees in the past year, female  (% age 15+)","Paid school fees in the past year, male (% age 15+)","Progression to secondary school (%)","Progression to secondary school, female (%)","Progression to secondary school, male (%)","Rate of out-of-school youth of upper secondary school age, female (%)","Rate of out-of-school youth of upper secondary school age, male (%)","School enrollment, preprimary (% gross)","School enrollment, preprimary, female (% gross)","School enrollment, preprimary, male (% gross)","School enrollment, primary (% gross)","School enrollment, primary (% net)","School enrollment, primary (gross), gender parity index (GPI)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, primary, female (% gross)","School enrollment, primary, female (% net)","School enrollment, primary, male (% gross)","School enrollment, primary, male (% net)","School enrollment, secondary (% gross)","School enrollment, secondary (% net)","School enrollment, secondary (gross), gender parity index (GPI)","School enrollment, secondary, female (% gross)","School enrollment, secondary, female (% net)","School enrollment, secondary, male (% gross)","School enrollment, secondary, male (% net)","School enrollment, tertiary (% gross)","School enrollment, tertiary (gross), gender parity index (GPI)","School enrollment, tertiary, female (% gross)","School enrollment, tertiary, male (% gross)","Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold","Female share of graduates in Arts and Humanities programmes, tertiary (%)","Female share of graduates in Business, Administration and Law programmes, tertiary (%)","Female share of graduates in Agriculture, Forestry, Fisheries and Veterinary programmes, tertiary (%)","Female share of graduates from Science, Technology, Engineering and Mathematics (STEM) programmes, tertiary (%)","Female share of graduates in Engineering, Manufacturing and Construction programmes, tertiary (%)","Female share of graduates in Health and Welfare programmes, tertiary (%)","Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","Female share of graduates in Natural Sciences, Mathematics and Statistics programmes, tertiary (%)","Female share of graduates in other fields than Science, Technology, Engineering and Mathematics programmes, tertiary (%)","Female share of graduates in Services programmes, tertiary (%)","Female share of graduates in Social Sciences, Journalism and Information programmes, tertiary (%)","Female share of graduates in unknown or unspecified fields, tertiary (%)","Government expenditure per student, primary (% of GDP per capita)","Government expenditure per student, secondary (% of GDP per capita)","Gross graduation ratio, primary, female (%)","Gross graduation ratio, primary, total (%)","Gross graduation ratio, primary, male (%)","Gross graduation ratio, tertiary, female (%)","Gross graduation ratio, tertiary, male (%)","Gross graduation ratio, tertiary, total (%)","Harmonized Test Scores","Harmonized Test Scores, Female","Harmonized Test Scores, Male","Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold","Primary completion rate, female (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Primary completion rate, total (% of relevant age group)","Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold",NA,NA,NA,"Data from database: Gender Statistics","Last Updated: 07/01/2021"
"2020 [YR2020]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 13"," 13"," 13",NA,NA,NA,NA,NA,NA,NA," 11"," 11"," 11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"517","521","514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019 [YR2019]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74.1","74.1","74.0","40.3","30.7","53.3","64.5","60.7","68.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.8"," 1.8"," 1.8"," 7.9"," 6.4"," 9.1"," 2.7"," 2.3"," 3.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018 [YR2018]",NA,NA,NA,"   21.10","   29.36","   25.15","   96.12","   96.55","   96.33","   33.59","   37.66","   35.59","  100.00","  100.00","  100.00","   21.55","   30.09","   25.74","   80.11","   86.94","   83.46","   10.48","   11.94","   11.20","    0.87","    1.65","    1.25",NA,NA,NA,"   73.44","   73.67","   73.28","   39.30","   30.08","   51.97","   64.22","   60.41","   68.30",NA,NA,NA,NA,"   87.34",NA,NA,NA,NA,"   63.35",NA,NA,"    4.58","   93.26","   46.47",NA,NA,NA,NA,NA,NA,NA,"   39.76","    1.87","    1.93","    1.83","    8.79","    7.00","   10.22","    2.88","    2.47","    3.27",NA,NA,NA,"    0.69","19808.00",NA,NA,"   13.33","   13.34","   13.32","   16.93","   16.91","   16.95",NA,NA,NA,NA,"   11.26","   11.29","   11.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"   15.62","   12.26","  108.53","  108.06","  108.97","  103.89",NA,"    1.01","    0.96","  104.28",NA,"  103.53",NA,"   97.59",NA,"    0.94","   94.55",NA,"  100.42",NA,"   70.34","    1.03","   71.49","   69.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"   45.25","   36.64","   40.76","  528.15","  528.59","  527.70",NA,"  101.59","  100.15","  100.84",NA,NA,NA,NA,NA,NA
"2017 [YR2017]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     81.46","      4.91","    104.96","     73.56","     73.80","     73.38","     38.87","     30.07","     51.11","     64.45","     60.70","     68.46","     32.08","     57.56","     36.57","     48.55","     87.29",NA,NA,NA,"     46.74","     63.02","1347863.13","     35.87","      4.66","     92.54","     45.63","      3.15","     94.30","     36.65","      6.02","     90.24","     23.09","     53.13","     39.30","      1.98","      1.98","      1.97","      9.44","      7.93","     10.67","      3.29","      2.90","      3.67","     90.35",NA,NA,"      0.53","  15035.00",NA,NA,"     13.89","     13.79","     13.89","     16.98","     16.91","     17.04",NA,NA,NA,NA,"     11.74","     11.66","     11.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     13.43","      9.68","    109.13","    108.59","    109.64","    104.02","     90.14","      1.00","      0.96","    104.16",NA,"    103.89",NA,"     98.41","     85.30","      0.94","     95.22","     84.69","    101.39","     85.87","     70.25","      1.01","     70.71","     69.82",NA,"     69.76","     53.05","     42.32","     27.56","     21.12","     70.58","     19.41","     46.76","     64.17","     52.73","     65.70","     52.28",NA,NA,NA,NA,NA,"     46.46","     38.46","     42.30","    528.00","    529.00","    528.00",NA,"     99.12","     98.51","     98.81",NA,NA,NA,NA,NA,NA
"2016 [YR2016]",NA,NA,NA,"     20.69","     30.72","     25.58","     96.21","     96.83","     96.51","     32.81","     38.64","     35.65","    100.00","    100.00","    100.00","     21.14","     31.47","     26.18","     78.61","     87.63","     83.01","     10.63","     12.43","     11.51","      0.84","      1.83","      1.32","     81.07","      4.84","    103.95","     73.75","     74.29","     73.37","     38.04","     29.40","     50.45","     64.62","     60.97","     68.51","     36.74","     58.35","     37.31","     48.57","     87.08",NA,NA,NA,"     47.12","     62.83","1351989.48","     37.24","      3.74","     91.46","     46.27","      2.87","     93.48","     37.74","      4.54","     88.77","     22.69","     53.47","     39.06","      2.19","      2.26","      2.13","     10.06","      8.68","     11.22","      3.69","      3.30","      4.06","     90.62","     91.54","     89.76","      0.51","  14502.00","   2469.00","  12033.00",NA,NA,NA,"     16.88","     16.82","     16.93","      0.22","      5.70","      4.63","      6.73",NA,NA,NA,"      0.22",NA,NA,NA,NA,NA,NA,"     99.50","     98.98","    100.00","     13.22","     11.10","    109.86","    109.43","    110.27","    102.68","     90.42","      1.00","      0.96","    102.69","     91.32","    102.66","     89.56","     98.81","     85.47","      0.95","     96.15","     85.24","    101.31","     85.68","     69.58","      1.00","     69.46","     69.69","      4.42","     69.82","     54.40","     41.17","     27.14","     20.49","     70.77","     18.14","     46.95","     64.05","     53.27","     65.46","     47.61","     17.44","     22.96",NA,NA,NA,"     46.44","     40.00","     43.10",NA,NA,NA,"      6.52","     98.30","     97.59","     97.94","      5.49",NA,NA,NA,NA,NA
"2015 [YR2015]",NA,NA,NA,"     19.81","     29.98","     24.74","     96.44","     97.01","     96.72","     31.32","     37.69","     34.41","    100.00","    100.00","    100.00","     20.29","     30.88","     25.43","     78.30","     88.15","     83.08","     10.10","     12.02","     11.03","      0.83","      1.77","      1.29","     80.66","      4.83","    103.65","     73.34","     74.08","     72.82","     37.22","     28.76","     49.94","     63.68","     60.05","     67.55","     40.20","     58.73","     37.53","     48.56","     86.80",NA,NA,NA,"     47.29","     62.37","1320985.95","     37.77","      2.61","     90.88","     46.79","      2.18","     93.02","     38.35","      3.01","     88.00","     21.93","     53.93","     38.22","      2.32","      2.54","      2.17","     11.15","      9.52","     12.56","      4.24","      3.76","      4.69","     89.44","     90.32","     88.60","      1.86","  52589.00","  21244.00","  31346.00",NA,NA,NA,"     16.79","     16.73","     16.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     99.91","     99.81","    100.00","     11.87","     10.91","    108.79","    108.40","    109.17","    101.67","     89.23","      1.00","      0.97","    101.60","     90.11","    101.73","     88.40","     98.82","     86.12","      0.95","     96.38","     86.07","    101.12","     86.17","     67.75","      0.98","     67.04","     68.41",NA,"     70.28","     53.54","     41.73","     26.85","     19.97","     70.98","     17.64","     46.70","     63.73","     54.39","     64.40","     40.46","     17.51","     23.00",NA,NA,NA,"     45.56","     41.16","     43.29",NA,NA,NA,NA,"     98.99","     98.85","     98.92",NA,NA,NA,NA,NA,NA
"2014 [YR2014]","      2.17","      1.73","      2.62","     19.13","     29.57","     24.18","     96.53","     97.09","     96.80","     30.01","     37.06","     33.42","    100.00","    100.00","    100.00","     19.59","     30.49","     24.87","     77.93","     88.39","     83.00","      9.77","     11.79","     10.75","      0.79","      1.76","      1.26",NA,"      4.94","    100.14","     73.64","     74.40","     73.12","     37.15","     28.55","     50.47","     64.10","     60.44","     67.98","     41.76","     58.57","     37.87","     48.54","     86.77","     17.06","     19.26","     14.76","     47.36","     61.96","1348527.19","     38.21","      2.50","     90.61","     47.78","      2.17","     92.78","     39.48","      2.82","     87.71","     21.98","     54.81","     38.02","      2.47","      2.75","      2.27","     11.71","      9.88","     13.32","      4.63","      4.24","      5.00","     88.14","     88.94","     87.38","      3.24","  92141.00","  41954.00","  50187.00",NA,NA,NA,"     16.74","     16.62","     16.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     99.63","     99.25","    100.00","     11.56","     10.29","    108.32","    107.92","    108.70","    100.54","     87.90","      1.00","      0.97","    100.36","     88.68","    100.71","     87.16","     99.71","     86.63","      0.95","     97.25","     86.51","    102.03","     86.75","     65.50","      0.95","     63.94","     66.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     17.67","     23.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     97.24","     97.32","     97.28",NA,NA,NA,NA,NA,NA
"2013 [YR2013]",NA,NA,NA,NA,NA,NA,"     96.36","     97.00","     96.67","     28.56","     36.33","     32.33","    100.00","    100.00","    100.00","     21.82","     30.44","     26.01","     77.07","     87.84","     82.31",NA,NA,NA,NA,NA,NA,NA,"      4.96","     99.68","     73.98","     74.62","     73.49","     40.76","     30.79","     57.42","     63.81","     59.73","     67.98","     42.18","     58.58","     37.74","     48.53","     85.68",NA,NA,NA,"     47.43","     61.08","1338507.37","     38.12","      2.44","     90.49","     47.51","      2.13","     92.73","     39.09","      2.72","     87.49","     21.61","     54.64","     37.72","      2.35","      2.59","      2.16","     11.79","     10.14","     13.28","      5.09","      4.73","      5.41","     88.19","     88.93","     87.49","      3.59"," 102890.00","  48415.00","  54475.00",NA,NA,NA,"     16.73","     16.59","     16.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     99.69","     99.36","    100.00","     11.88","     10.68","    107.52","    106.90","    108.12","    100.84","     87.94","      0.99","      0.96","    100.56","     88.65","    101.10","     87.26","    100.81","     87.32","      0.95","     98.31","     87.16","    103.18","     87.48","     61.39","      0.94","     59.43","     63.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     17.55","     23.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     98.31","     98.48","     98.40",NA,NA,NA,NA,NA,NA
"2012 [YR2012]",NA,NA,NA,NA,NA,NA,"     96.39","     97.10","     96.73","     27.78","     36.04","     31.79","    100.00","    100.00","    100.00","     21.22","     30.28","     25.62","     76.48","     87.95","     82.05",NA,NA,NA,NA,NA,NA,NA,"      4.96","    102.30","     74.16","     74.88","     73.62","     40.29","     30.43","     57.22","     63.65","     59.32","     68.07","     43.50",NA,"     37.37","     48.65","     85.02",NA,NA,NA,"     47.37","     60.34","1396380.00","     37.89","      2.49",NA,"     48.31","      2.24",NA,"     39.56","      2.73",NA,"     22.29","     55.64",NA,"      2.31","      2.60","      2.09","     12.19","     10.89","     13.38","      5.23","      4.94","      5.48","     88.53","     89.22","     87.87","      3.30","  95234.00","  45040.00","  50194.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     99.34",NA,NA,"     11.12","     10.09",NA,NA,NA,"    101.61","     88.29","      1.00","      0.96","    101.48","     88.97","    101.74","     87.65","    102.17","     88.03","      0.95","     99.34","     87.67","    104.85","     88.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"     17.32","     23.05",NA,NA,NA,"     34.81","     31.30","     33.01",NA,NA,NA,NA,"     98.83","     98.49","     98.65",NA,NA,NA,NA,NA,NA
