"Jahr","Educational attainment, at least Master's or equivalent, popula","Educational attainment, at least Master's or equivalent, popula","Educational attainment, Doctoral or equivalent, population 25+,","Educational attainment, Doctoral or equivalent, population 25+,","Educational attainment, Doctoral or equivalent, population 25+,","Female share of graduates in Education programmes, tertiary (%)","Government expenditure on education, total (% of GDP)","Labor force with advanced education (% of total working-age pop","Labor force with advanced education, female (% of female workin","Labor force with advanced education, male (% of male working-ag","Labor force with advanced education, male (% of male working-ag",""Labor force with basic education, male (% of male working-age","Labor force with intermediate education (% of total working-age",""Labor force with intermediate education, female (% of female w","Labor force with intermediate education, male (% of male workin","Primary education, pupils (% female)","Primary education, teachers (% female)","Secondary education, pupils (% female)","Secondary education, teachers (% female)","Tertiary education, academic staff (% female)","Unemployment with advanced education (% of total labor force wi","Unemployment with advanced education, female (% of female labor",""Unemployment with advanced education, male (% of male labor fo","Unemployment with basic education (% of total labor force with","Unemployment with basic education, female (% of female labor fo","Unemployment with basic education, male (% of male labor force",""Unemployment with intermediate education (% of total labor for",""Unemployment with intermediate education, female (% of female",""Unemployment with intermediate education, female (% of female ","School enrollment, preprimary (% gross)",""School enrollment, preprimary, female (% gross)"","School enrollment, preprimary, male (% gross)","School enrollment, primary (% gross)","School enrollment, primary (gross), gender parity index (GPI)",""School enrollment, primary and secondary (gross), gender parit","School enrollment, primary, female (% gross)","School enrollment, primary, male (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary (gross), gender parity index (GPI)","School enrollment, secondary, female (% gross)","School enrollment, secondary, male (% gross)","Female share of graduates in Arts and Humanities programmes, te","Female share of graduates in Business, Administration and Law p","Female share of graduates in Agriculture, Forestry, Fisheries a","Female share of graduates from Science, Technology, Engineering","Female share of graduates in Engineering, Manufacturing and Con","Female share of graduates in Health and Welfare programmes, ter","Female share of graduates in Information and Communication Tech","Female share of graduates in Natural Sciences, Mathematics and",""Female share of graduates in other fields than Science, Techno","Female share of graduates in Services programmes, tertiary (%)","Female share of graduates in Social Sciences, Journalism and In","Female share of graduates in unknown or unspecified fields, ter"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,74.1,74.0,40.3,30.7,53.3,64.5,60.7,68.6,,,,,,1.8,1.8,1.8,7.9,6.4,9.1,2.7,2.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2018,11.79,10.75,0.79,1.65,1.25,,,73.44,73.28,39.3,30.08,51.97,64.22,60.41,68.3,,87.34,,63.35,39.76,1.87,1.93,1.83,8.79,7.0,10.22,2.88,2.47,3.27,108.53,108.06,108.97,103.89,1.01,0.96,104.28,103.53,"97.590",0.94,94.55,100.42,,,,,,,,,,,,
2017,,,,,,81.46,4.91,73.56,73.38,38.87,30.07,51.11,64.45,60.7,68.46,48.55,87.29,46.74,63.02,39.3,1.98,1.98,1.97,9.44,7.93,10.67,3.29,2.9,3.67,109.13,108.59,109.64,104.02,1.0,0.96,104.16,103.89,"98.410",0.94,95.22,101.39,69.76,53.05,42.32,27.56,21.12,70.58,19.41,46.76,64.17,52.73,65.7,52.28
2016,11.79,10.75,0.79,1.83,1.32,81.07,4.84,73.75,73.37,38.04,29.4,50.45,64.62,60.97,68.51,48.57,87.08,47.12,62.83,39.06,2.19,2.26,2.13,10.06,8.68,11.22,3.69,3.3,4.06,109.86,109.43,110.27,102.68,1.0,0.96,102.69,102.66,"98.810",0.95,96.15,101.31,69.82,54.4,41.17,27.14,20.49,70.77,18.14,46.95,64.05,53.27,65.46,47.61
2015,11.79,10.75,0.79,1.77,1.29,80.66,4.83,73.34,72.82,37.22,28.76,49.94,63.68,60.05,67.55,48.56,86.8,47.29,62.37,38.22,2.32,2.54,2.17,11.15,9.52,12.56,4.24,3.76,4.69,108.79,108.4,109.17,101.67,1.0,0.97,101.6,101.73,"98.820",0.95,96.38,101.12,70.28,53.54,41.73,26.85,19.97,70.98,17.64,46.7,63.73,54.39,64.4,40.46
2014,11.79,10.75,0.79,1.76,1.26,,4.94,73.64,73.12,37.15,28.55,50.47,64.1,60.44,67.98,48.54,86.77,47.36,61.96,38.02,2.47,2.75,2.27,11.71,9.88,13.32,4.63,4.24,5.0,108.32,107.92,108.7,100.54,1.0,0.97,100.36,100.71,"99.710",0.95,97.25,102.03,,,,,,,,,,,,
2013,,,,,,,4.96,73.98,73.49,40.76,30.79,57.42,63.81,59.73,67.98,48.53,85.68,47.43,61.08,37.72,2.35,2.59,2.16,11.79,10.14,13.28,5.09,4.73,5.41,107.52,106.9,108.12,100.84,0.99,0.96,100.56,101.1,"100.810",0.95,98.31,103.18,,,,,,,,,,,,
2012,,,,,,,4.96,74.16,73.62,40.29,30.43,57.22,63.65,59.32,68.07,48.65,85.02,47.37,60.34,,2.31,2.6,2.09,12.19,10.89,13.38,5.23,4.94,5.48,,,,101.61,1.0,0.96,101.48,101.74,"102.170",0.95,99.34,104.85,,,,,,,,,,,,
2011,,,,,,,4.82,74.39,73.83,40.33,30.44,57.46,63.83,59.63,68.15,48.6,84.43,47.45,59.78,,2.37,2.66,2.16,12.94,11.66,14.11,5.7,5.31,6.05,,,,102.47,0.99,0.96,102.11,102.8,"103.760",0.95,100.88,106.51,,,,,,,,,,,,
2010,,,,,,,4.94,73.47,72.96,37.06,28.44,51.09,63.46,59.22,67.86,48.63,85.54,47.49,58.96,,3.02,3.24,2.86,14.69,12.78,16.41,6.83,6.23,7.37,,,,103.0,0.99,0.96,102.7,103.28,"103.970",0.95,101.15,106.67,,,,,,,,,,,,
