"Year","Afghanistan","Chile","China","Congo, Dem. Rep.","Congo, Rep.","Cuba","El Salvador","Equatorial Guinea","X73","Germany","Guinea","Israel","Jordan","Korea, Rep.","Latvia","Liberia","Libya","Namibia","New Caledonia","Niger","Nigeria","Oman","Pakistan","Qatar","Samoa","Senegal","Sint Maarten (Dutch part)","Solomon Islands","Spain","Sri Lanka","Tanzania","Thailand","Turkmenistan","Ukraine","Zimbabwe"
1990,,,3.5,,4.0,,,,,3.0,,,,,3.0,,2.5,,,,,,4.0,,,,,,,,,,,,
2000,,,3.5,,4.0,,,,,3.0,,,,,3.0,,2.5,,,,,,4.0,,,,,,,,,,,,
2011,,,3.5,,4.0,,2.5,,,3.0,,3.5,4.0,,3.0,,2.5,,,4.5,,,4.0,3.5,3.5,4.0,,4.0,3.5,,2.5,,2.5,2.5,
2012,,,,,,,2.5,,,,,3.5,4.0,,,,,,,4.5,,,,3.5,3.0,4.0,,4.0,3.5,,2.5,,2.5,2.5,
2014,,,,,,,2.5,,,,,3.5,4.0,,,,,,,4.5,,,,3.5,3.0,4.0,,4.0,3.5,,2.5,,2.5,2.5,
2015,,,,,,,2.5,,,,,3.5,4.0,,,,,,,4.0,,,,3.5,3.0,4.0,,4.0,3.5,,2.5,,2.5,2.5,
2016,2.0,3.5,,4.0,,,2.5,3.0,3.0,,,3.5,4.0,4.0,,3.0,,2.5,3.5,4.5,3.5,4.0,,3.5,2.5,3.5,5.0,4.0,3.5,,2.5,3.0,2.5,2.5,4.0
2017,2.0,3.5,,4.0,,,2.5,3.0,3.0,,,3.5,4.0,4.0,,3.0,,2.5,3.5,4.5,3.5,4.0,,3.5,2.5,3.5,5.0,4.0,3.5,,2.5,3.0,2.5,2.5,4.0
2018,1.5,3.5,,4.0,,,2.5,3.0,3.0,,,3.5,4.0,4.0,,3.0,,2.5,3.5,4.5,4.0,4.0,,3.5,2.5,3.5,4.5,4.0,3.5,3.0,2.5,3.0,2.5,2.5,4.0
2019,1.5,3.5,,4.0,,,3.0,3.0,3.0,,,3.5,4.0,3.5,,3.0,,2.5,3.5,4.5,4.0,4.0,,3.5,2.5,3.5,4.5,4.0,3.5,3.0,2.5,3.0,2.5,2.5,4.0
2019,1.5,3.5,4.0,4.0,3.0,2.5,3.0,3.0,3.0,3.5,3.5,3.5,4.0,3.5,2.5,3.0,4.0,2.5,3.5,4.5,4.0,4.0,3.0,3.5,2.5,3.5,4.5,4.0,3.5,3.0,2.5,3.0,2.5,2.5,4.5
2020,1.5,3.5,4.0,4.0,3.0,2.5,,3.0,3.0,3.0,3.5,,,3.5,2.5,2.5,4.0,2.5,3.5,,4.0,4.0,3.0,,,,4.5,,,3.0,,3.0,,,4.5
