"A","B","C","HDI Rank","name_long","GII_Value","GII_Rank","Maternal_mortality ratio_(deaths_per_100k_livebirths)","Adolescent_birth rate_(births_per_1k_women_age_15-19)","Share of seats in parliament_(%_held_by_women)","f_with_at_least_some_secondary_education_in%","m_with_at_least_some_secondary_education_in%","f_Labour force participation rate_in%","m_Labour force participation rate_in%"
1,,,1,"Norway",0.045,6,2.0,5.141,40.82840237,95.3928,94.8599762,60.37,67.192
2,,,2,"Ireland",0.093,23,5.0,7.515,24.31192661,81.92398,79.94372604,55.973,68.365
3,,,2,"Switzerland",0.025,1,5.0,2.763,38.61788618,95.56618,96.75691,62.904,73.754
4,,,4,"Hong Kong, China (SAR)",,,,2.705,,77.0914338,82.9151,53.984,67.507
5,,,4,"Iceland",0.058,9,4.0,6.269,38.0952381,100.0,100.0,70.846,79.225
6,,,6,"Germany",0.084,20,7.0,8.095,31.61953728,95.85821,96.32719,55.275,66.565
7,,,7,"Sweden",0.039,3,4.0,5.076,47.27793696,89.28605,89.54352356,61.384,67.766
8,,,8,"Australia",0.097,25,6.0,11.715,36.56387665,91.02507,90.94452,60.3,70.855
9,,,8,"Netherlands",0.043,4,5.0,3.788,33.77777778,87.57493,90.31986,58.263,69.083
10,,,10,"Denmark",0.038,2,4.0,4.123,39.10614525,91.15192,90.88383,58.248,66.285
11,,,11,"Finland",0.047,7,3.0,5.813,47.0,100.0,100.0,55.542,62.773
12,,,11,"Singapore",0.065,12,8.0,3.53,23.0,78.09105,85.05447,61.97,78.298
13,,,13,"United Kingdom",0.118,31,7.0,13.37,28.90896456,78.00672324,79.30673116,57.647,68.11
14,,,14,"Belgium",0.043,4,5.0,4.651,43.33333333,84.72241,88.38187,48.608,58.699
15,,,14,"New Zealand",0.123,33,9.0,19.27,40.83333333,97.38831267,96.85121934,64.772,75.335
16,,,16,"Canada",0.08,19,10.0,8.387,33.18284424,100.0,100.0,60.836,69.422
17,,,17,"United States",0.204,46,19.0,19.86,23.72881356,96.07597,95.97922,56.126,68.186
18,,,18,"Austria",0.069,14,5.0,7.34,38.52459016,100.0,99.78705411,55.059,66.573
19,,,19,"Israel",0.109,26,3.0,9.607,23.33333333,87.94330874,90.69420266,59.693,68.547
20,,,19,"Japan",0.094,24,5.0,3.78,14.50704225,95.27327069,92.27957105,52.738,71.28
21,,,19,"Liechtenstein",,,,,12.0,,,,
22,,,22,"Slovenia",0.063,10,7.0,3.776,22.30769231,97.2491,98.32048,53.401,63.426
23,,,23,"Korea (Republic of)",0.064,11,11.0,1.379,16.66666667,80.43655096,95.46899485,52.892,73.102
24,,,23,"Luxembourg",0.065,12,5.0,4.727,25.0,100.0,100.0,54.914,63.67
25,,,25,"Spain",0.07,16,4.0,7.725,41.85667752,75.37,80.23754,51.853,63.429
26,,,26,"France",0.049,8,8.0,4.727,36.86486486,81.69858,86.77103016,50.752,59.906
27,,,27,"Czechia",0.136,36,3.0,11.972,20.6405694,99.98682,99.90271,52.939,68.548
28,,,28,"Malta",0.175,40,6.0,12.879,14.92537313,78.70788,85.57332,46.047,67.06
29,,,29,"Estonia",0.086,21,9.0,7.698,29.7029703,100.0,100.0,57.102,71.008
30,,,29,"Italy",0.069,14,2.0,5.24,35.26315789,75.89580065,83.35229244,40.759,58.997
31,,,31,"United Arab Emirates",0.079,18,3.0,6.546,50.0,76.02257,81.02851,52.391,93.389
32,,,32,"Greece",0.116,29,3.0,7.223,20.66666667,62.01142044,73.20012,44.168,59.779
33,,,33,"Cyprus",0.086,21,6.0,4.582,17.85714286,79.93714,83.76539,57.835,68.346
34,,,34,"Lithuania",0.124,34,8.0,10.854,21.27659574,94.29903,97.43829842,56.538,67.74
